alpha,beta,rho,fitted_exponent
0.4667,0.3600,-0.1618,0.755333
0.4667,0.3600,-0.0541,0.611375
0.4667,0.3600,0.0541,0.449371
0.4667,0.3600,0.1618,0.458256
0.4667,0.3600,0.2675,0.466450
0.4667,0.3600,0.3701,0.474016
0.4667,0.3600,0.4684,0.481011
0.4667,0.3600,0.5612,0.487482
0.4667,0.3600,0.6474,0.493474
0.4667,0.3600,0.7260,0.499025
0.4667,0.3600,0.7961,0.504167
0.4667,0.3600,0.8569,0.508931
0.4667,0.3600,0.9076,0.513344
0.4667,0.3600,0.9477,0.517428
0.4667,0.3600,0.9766,0.521205
0.4667,0.3600,0.9941,0.524693
0.4667,0.3600,1.0000,0.527908
0.4667,0.4133,-1.0000,0.959548
0.4667,0.4133,-0.9941,0.956284
0.4667,0.4133,-0.9766,0.952377
0.4667,0.4133,-0.9477,0.947709
0.4667,0.4133,-0.9076,0.942131
0.4667,0.4133,-0.8569,0.935446
0.4667,0.4133,-0.7961,0.927392
0.4667,0.4133,-0.7260,0.917611
0.4667,0.4133,-0.6474,0.905607
0.4667,0.4133,-0.5612,0.890662
0.4667,0.4133,-0.4684,0.871701
0.4667,0.4133,-0.3701,0.847036
0.4667,0.4133,-0.2675,0.813838
0.4667,0.4133,-0.1618,0.758507
0.4667,0.4133,-0.0541,0.634057
0.4667,0.4133,0.0541,0.568109
0.4667,0.4133,0.1618,0.567840
0.4667,0.4133,0.2675,0.567464
0.4667,0.4133,0.3701,0.566984
0.4667,0.4133,0.4684,0.566407
0.4667,0.4133,0.5612,0.565737
0.4667,0.4133,0.6474,0.564978
0.4667,0.4133,0.7260,0.564136
0.4667,0.4133,0.7961,0.563214
0.4667,0.4133,0.8569,0.562215
0.4667,0.4133,0.9076,0.561143
0.4667,0.4133,0.9477,0.560002
0.4667,0.4133,0.9766,0.558794
0.4667,0.4133,0.9941,0.557523
0.4667,0.4133,1.0000,0.556190
0.4667,0.4667,-1.0000,1.052571
0.4667,0.4667,-0.9941,1.050238
0.4667,0.4667,-0.9766,1.048132
0.4667,0.4667,-0.9477,1.046259
0.4667,0.4667,-0.9076,1.044624
0.4667,0.4667,-0.8569,1.043229
0.4667,0.4667,-0.7961,1.042074
0.4667,0.4667,-0.7260,1.041158
0.4667,0.4667,-0.6474,1.040475
0.4667,0.4667,-0.5612,1.040022
0.4667,0.4667,-0.4684,1.039791
0.4667,0.4667,-0.3701,1.039774
0.4667,0.4667,-0.2675,1.039962
0.4667,0.4667,-0.1618,1.040345
0.4667,0.4667,-0.0541,1.040913
0.4667,0.4667,0.0541,1.041655
0.4667,0.4667,0.1618,1.042561
0.4667,0.4667,0.2675,1.043618
0.4667,0.4667,0.3701,1.044817
0.4667,0.4667,0.4684,1.046146
0.4667,0.4667,0.5612,1.047594
0.4667,0.4667,0.6474,1.049152
0.4667,0.4667,0.7260,1.050809
0.4667,0.4667,0.7961,1.052556
0.4667,0.4667,0.8569,1.054384
0.4667,0.4667,0.9076,1.056283
0.4667,0.4667,0.9477,1.058247
0.4667,0.4667,0.9766,1.060267
0.4667,0.4667,0.9941,1.062336
0.4667,0.4667,1.0000,1.064447
0.5200,0.2000,-1.0000,0.599934
0.5200,0.2000,-0.9941,0.596686
0.5200,0.2000,-0.9766,0.592885
0.5200,0.2000,-0.9477,0.588407
0.5200,0.2000,-0.9076,0.583086
0.5200,0.2000,-0.8569,0.571880
0.5200,0.2000,-0.7961,0.548673
