alpha,beta,rho,fitted_exponent
0.3600,0.3600,0.7260,0.385573
0.3600,0.3600,0.7961,0.386650
0.3600,0.3600,0.8569,0.387725
0.3600,0.3600,0.9076,0.389377
0.3600,0.3600,0.9477,0.391326
0.3600,0.3600,0.9766,0.392709
0.3600,0.3600,0.9941,0.394413
0.3600,0.3600,1.0000,0.396720
0.4133,0.2000,-1.0000,0.008491
0.4133,0.2000,-0.9941,0.008565
0.4133,0.2000,-0.9766,0.201694
0.4133,0.2000,-0.9477,0.244777
0.4133,0.2000,-0.9076,0.429636
0.4133,0.2000,-0.8569,0.588568
0.4133,0.2000,-0.7961,0.627002
0.4133,0.2000,-0.7260,0.751098
0.4133,0.2000,-0.6474,0.843071
0.4133,0.2000,-0.5612,0.893667
0.4133,0.2000,-0.4684,0.933921
0.4133,0.2000,-0.3701,0.934464
0.4133,0.2000,-0.2675,0.933392
0.4133,0.2000,-0.1618,0.893789
0.4133,0.2000,-0.0541,0.750137
0.4133,0.2000,0.0541,0.066113
0.4133,0.2000,0.1618,0.102248
0.4133,0.2000,0.2675,0.055044
0.4133,0.2000,0.3701,0.018904
0.4133,0.2000,0.4684,0.017075
0.4133,0.2000,0.5612,0.016873
0.4133,0.2000,0.6474,0.015996
0.4133,0.2000,0.7260,0.015984
0.4133,0.2000,0.7961,0.014696
0.4133,0.2000,0.8569,0.014092
0.4133,0.2000,0.9076,0.013316
0.4133,0.2000,0.9477,0.013132
0.4133,0.2000,0.9766,0.013266
0.4133,0.2000,0.9941,0.012597
0.4133,0.2000,1.0000,0.011663
0.4133,0.2533,-1.0000,0.240807
0.4133,0.2533,-0.9941,0.531098
0.4133,0.2533,-0.9766,0.667607
0.4133,0.2533,-0.9477,0.756552
0.4133,0.2533,-0.9076,0.774510
0.4133,0.2533,-0.8569,0.872180
0.4133,0.2533,-0.7961,0.902867
0.4133,0.2533,-0.7260,0.916769
0.4133,0.2533,-0.6474,0.941132
0.4133,0.2533,-0.5612,0.953790
0.4133,0.2533,-0.4684,0.951906
0.4133,0.2533,-0.3701,0.942986
0.4133,0.2533,-0.2675,0.929496
0.4133,0.2533,-0.1618,0.888843
0.4133,0.2533,-0.0541,0.705084
0.4133,0.2533,0.0541,0.024397
0.4133,0.2533,0.1618,0.011430
0.4133,0.2533,0.2675,0.041258
0.4133,0.2533,0.3701,0.010904
0.4133,0.2533,0.4684,0.010436
0.4133,0.2533,0.5612,0.010045
0.4133,0.2533,0.6474,0.010044
0.4133,0.2533,0.7260,0.009866
0.4133,0.2533,0.7961,0.009592
0.4133,0.2533,0.8569,0.009549
0.4133,0.2533,0.9076,0.009241
0.4133,0.2533,0.9477,0.009306
0.4133,0.2533,0.9766,0.009212
0.4133,0.2533,0.9941,0.008994
0.4133,0.2533,1.0000,0.008904
0.4133,0.3067,-1.0000,0.843520
0.4133,0.3067,-0.9941,0.882344
0.4133,0.3067,-0.9766,0.924266
0.4133,0.3067,-0.9477,0.932636
0.4133,0.3067,-0.9076,0.948085
0.4133,0.3067,-0.8569,0.966079
0.4133,0.3067,-0.7961,0.968884
0.4133,0.3067,-0.7260,0.974854
0.4133,0.3067,-0.6474,0.974693
0.4133,0.3067,-0.5612,0.970606
0.4133,0.3067,-0.4684,0.962503
0.4133,0.3067,-0.3701,0.953341
0.4133,0.3067,-0.2675,0.932974
0.4133,0.3067,-0.1618,0.888185
0.4133,0.3067,-0.0541,0.628231
0.4133,0.3067,0.0541,0.013365
0.4133,0.3067,0.1618,0.008171
0.4133,0.3067,0.2675,0.008166
0.4133,0.3067,0.3701,0.041452
0.4133,0.3067,0.4684,0.008136
0.4133,0.3067,0.5612,0.008057
0.4133,0.3067,0.6474,0.008008
0.4133,0.3067,0.7260,0.007964
0.4133,0.3067,0.7961,0.007857
0.4133,0.3067,0.8569,0.007834
0.4133,0.3067,0.9076,0.007764
0.4133,0.3067,0.9477,0.007743
0.4133,0.3067,0.9766,0.007652
0.4133,0.3067,0.9941,0.007652
0.4133,0.3067,1.0000,0.007584
0.4133,0.3600,-1.0000,0.984340
0.4133,0.3600,-0.9941,0.993099
0.4133,0.3600,-0.9766,0.998621
0.4133,0.3600,-0.9477,1.009201
0.4133,0.3600,-0.9076,1.012207
0.4133,0.3600,-0.8569,1.014320
0.4133,0.3600,-0.7961,1.016070
0.4133,0.3600,-0.7260,1.018515
0.4133,0.3600,-0.6474,1.017844
0.4133,0.3600,-0.5612,1.019596
0.4133,0.3600,-0.4684,1.016229
0.4133,0.3600,-0.3701,1.016069
0.4133,0.3600,-0.2675,1.004527
0.4133,0.3600,-0.1618,0.855599
0.4133,0.3600,-0.0541,0.402700
0.4133,0.3600,0.0541,0.016348
0.4133,0.3600,0.1618,0.016291
0.4133,0.3600,0.2675,0.016215
0.4133,0.3600,0.3701,0.016161
0.4133,0.3600,0.4684,0.016109
0.4133,0.3600,0.5612,0.016090
0.4133,0.3600,0.6474,0.016047
0.4133,0.3600,0.7260,0.016021
0.4133,0.3600,0.7961,0.016009
