alpha,beta,rho,fitted_exponent
0.4667,0.4133,-0.9477,0.866279
0.4667,0.4133,-0.9076,0.860988
0.4667,0.4133,-0.8569,0.852170
0.4667,0.4133,-0.7961,0.843778
0.4667,0.4133,-0.7260,0.831925
0.4667,0.4133,-0.6474,0.814792
0.4667,0.4133,-0.5612,0.794832
0.4667,0.4133,-0.4684,0.768252
0.4667,0.4133,-0.3701,0.726190
0.4667,0.4133,-0.2675,0.672174
0.4667,0.4133,-0.1618,0.571597
0.4667,0.4133,-0.0541,0.351408
0.4667,0.4133,0.0541,0.200941
0.4667,0.4133,0.1618,0.197940
0.4667,0.4133,0.2675,0.196508
0.4667,0.4133,0.3701,0.194552
0.4667,0.4133,0.4684,0.192198
0.4667,0.4133,0.5612,0.191244
0.4667,0.4133,0.6474,0.189471
0.4667,0.4133,0.7260,0.187248
0.4667,0.4133,0.7961,0.184775
0.4667,0.4133,0.8569,0.182293
0.4667,0.4133,0.9076,0.179700
0.4667,0.4133,0.9477,0.178088
0.4667,0.4133,0.9766,0.176616
0.4667,0.4133,0.9941,0.174020
0.4667,0.4133,1.0000,0.171256
0.4667,0.4667,-1.0000,0.960809
0.4667,0.4667,-0.9941,0.953266
0.4667,0.4667,-0.9766,0.944970
0.4667,0.4667,-0.9477,0.937395
0.4667,0.4667,-0.9076,0.930928
0.4667,0.4667,-0.8569,0.922956
0.4667,0.4667,-0.7961,0.916747
0.4667,0.4667,-0.7260,0.910612
0.4667,0.4667,-0.6474,0.907383
0.4667,0.4667,-0.5612,0.902766
0.4667,0.4667,-0.4684,0.898195
0.4667,0.4667,-0.3701,0.894772
0.4667,0.4667,-0.2675,0.893590
0.4667,0.4667,-0.1618,0.891581
0.4667,0.4667,-0.0541,0.890962
0.4667,0.4667,0.0541,0.892929
0.4667,0.4667,0.1618,0.892562
0.4667,0.4667,0.2675,0.894247
0.4667,0.4667,0.3701,0.898085
0.4667,0.4667,0.4684,0.902257
0.4667,0.4667,0.5612,0.906242
0.4667,0.4667,0.6474,0.912679
0.4667,0.4667,0.7260,0.917895
0.4667,0.4667,0.7961,0.924592
0.4667,0.4667,0.8569,0.931892
0.4667,0.4667,0.9076,0.941672
0.4667,0.4667,0.9477,0.950201
0.4667,0.4667,0.9766,0.960986
0.4667,0.4667,0.9941,0.970652
0.4667,0.4667,1.0000,0.981289
0.5200,0.2000,-1.0000,0.562135
